Proyecto de Ley;Fecha Documento;Fecha de Presentación;N. Trámite;N. Documento;Estado;Comisión asignada;Fecha Calificación CAL;Proponentes
"PROYECTO DE LEY DE CONCURSO PREVENTIVO PARA EL FORTALECIMIENTO DE LA CONTINUIDAD EMPRESARIAL";"2026-05-07";"2026-05-07";"480824";"480824";"PROYECTO PRESENTADO";"No Asignado";null;"AZIN ARCE ANNABELLA EMMA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA PARA LA PLANIFICACIÓN Y DESARROLLO INTEGRAL DE LA CIRCUNSCRIPCIÓN TERRITORIAL ESPECIAL AMAZÓNICA";"2026-05-07";"2026-05-07";"480835";"480835";"PROYECTO PRESENTADO";"No Asignado";null;"JARRIN RIVADENEIRA EDWIN ESTUARDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE JUVENTUDES PARA APOYAR EL EMPRENDIMIENTO JUVENIL E INNOVACIÓN SOSTENIBLE";"2026-05-06";"2026-05-06";"480743";"480743";"PROYECTO PRESENTADO";"No Asignado";null;"TERÁN BARRAGÁN JOHNNY ENRIQUE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A VARIAS LEYES PARA GARANTIZAR EL DERECHO AL CUIDADO EN CASO DE EMBARAZO PREMATURO Y EMBARAZO MÚLTIPLE EN EL PERÍODO DE IACTANCIA, MATERNIDAD Y PATERNIDAD";"2026-05-06";"2026-05-06";"480753";"480753";"PROYECTO PRESENTADO";"No Asignado";null;"VEGA SEGURA ELIZABETH JULIETTE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO DE ORGANIZACIÓN TERRITORIAL, AUTONOMÍA Y DESCENTRALIZACIÓN, PARA INCENTIVAR LA CONECTIVIDAD Y EL ACCESO A INTERNET EN ZONAS RURALES";"2026-05-06";"2026-05-06";"480765";"480765";"PROYECTO PRESENTADO";"No Asignado";null;"CELLERI GÓMEZ SAMUEL ELIAS(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE LA ECONOMÍA POPULAR Y SOLIDARIA";"2026-05-06";"2026-05-06";"480764";"480764";"PROYECTO PRESENTADO";"No Asignado";null;"MENDOZA IBARRA MARIA BESIBELL(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA DE CREACIÓN Y FUNCIONAMIENTO DEL SERVICIO ECUATORIANO DE CAPACITACIÓN PROFESIONAL SECAP";"2026-05-06";"2026-05-06";"480763";"480763";"PROYECTO PRESENTADO";"No Asignado";null;"MENDOZA IBARRA MARIA BESIBELL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO DE LA FUNCIÓN JUDICIAL PARA GARANTIZAR PROBIDAD NOTORIA EN LA DESIGNACIÓN DEL FISCAL GENERAL Y LA LUCHA CONTRA EL CRIMEN ORGANIZADO";"2026-05-05";"2026-05-05";"480696";"480696";"PROYECTO PRESENTADO";"No Asignado";null;"MOLINA ONOFA LUIS FERNANDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA GARANTIZAR LA PROTECCIÓN E INDEPENDENCIA DE LA FUNCIÓN JUDICIAL FRENTE AL CRIMEN ORGANIZADO";"2026-04-29";"2026-04-29";"480592";"480592";"PROYECTO PRESENTADO";"No Asignado";null;"YUMBAY YALLICO MARIANA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE PERSONAS CON DISCAPACIDAD, DE FORTALECIMIENTO DEL DERECHO A LA SALUD INTEGRAL Y AUTONOMÍA PERSONAL, EN ARMONIZACIÓN DE ESTÁNDARES DE PROTECCIÓN INTERNACIONALES Y CONSTITUCIONALES";"2026-04-27";"2026-04-27";"AN-BCDP-2026-0065-M";"AN-BCDP-2026-0065-M";"PROYECTO PRESENTADO";"No Asignado";null;"BLACIO CARRION DIANA PATRICIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE ECOSISTEMAS FRÁGILES";"2026-04-24";"2026-04-24";"480387";"480387";"PROYECTO PRESENTADO";"No Asignado";null;"BALTAZAR YUCAILLA ROSA CECILIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA RECONOCER E INTEGRAR LOS DERECHOS DE LA NATURALEZA, LOS DERECHOS DE LOS ANIMALES Y LA PROTECCIÓN Y BIENESTAR ANIMAL EN LA EDUCACIÓN AMBIENTAL";"2026-04-24";"2026-04-24";"480385";"480385";"PROYECTO PRESENTADO";"No Asignado";null;"SAMANIEGO MAIGUA FRANKLIN OMAR(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A VARIAS LEYES PARA GARANTIZAR LA IGUALDAD EN EL ACCESO A LA LICENCIA POR CALAMIDAD DOMÉSTICA";"2026-04-23";"2026-04-23";"480360";"480360";"PROYECTO PRESENTADO";"No Asignado";null;"FARINANGO DELGADO NATHALY ESTEFANIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA GARANTIZAR LA EXCEPCIONALIDAD DE LA PRIVACIÓN DE LIBERTAD EN INFRACCIONES DE TRÁNSITO Y PROMOVER LA RESPONSABILIDAD DE AUXILIO DEL CONDUCTOR";"2026-04-22";"2026-04-22";"480296";"480296";"PROYECTO PRESENTADO";"No Asignado";null;"GONZAGA SALAZAR JUAN MARCO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE ACTUACIÓN DE CASOS DE PERSONAS DESAPARECIDAS Y EXTRAVIADAS";"2026-04-16";"2026-04-16";"480018";"480018";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Soberanía, Integración y Seguridad Integral";"2026-05-06";"ALARCÓN BUENO INÉS MARGARITA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA PARA LA PLANIFICACIÓN Y DESARROLLO DE LA CIRCUNSCRIPCIÓN TERRITORIAL ESPECIAL AMAZÓNICA";"2026-04-14";"2026-04-14";"AN-TVAB-2026-0077-M";"AN-TVAB-2026-0077-M";"INFORME NO VINCULANTE UTL";"No Asignado";null;"TAPIA VALLEJO ANA BELEN(ASAMBLEÍSTA)/ VILLACRES SALAZAR CARLOS STEVE(ASAMBLEÍSTA)/ VEGA MORILLO NUVIA ROCIO(ASAMBLEÍSTA)/ ACUÑA VACA MARIA CRISTINA(ASAMBLEÍSTA)/ ROGEL ESPERANZA DEL CISNE(ASAMBLEÍSTA)/ JARRIN RIVADENEIRA EDWIN ESTUARDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA EL FORTALECIMIENTO DE LA LUCHA CONTRA LA TRATA DE PERSONAS Y LA PROTECCIÓN DE NIÑAS, NIÑOS Y ADOLESCENTES FRENTE A LA EXPLOTACIÓN SEXUAL";"2026-04-14";"2026-04-14";"479916";"479916";"INFORME NO VINCULANTE UTL";"No Asignado";null;"ALARCÓN BUENO INÉS MARGARITA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE ACTUACIÓN EN CASOS DE PERSONAS DESAPARECIDAS Y EXTRAVIADAS";"2026-04-10";"2026-04-10";"479800";"479800";"INFORME NO VINCULANTE UTL";"No Asignado";null;"SAMANIEGO MAIGUA FRANKLIN OMAR(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE GOBERNANZA DE DATOS EN SALUD PARA EL SISTEMA NACIONAL DE SALUD DEL ECUADOR";"2026-04-09";"2026-04-09";"AN-GBJL-2026-0055-M";"AN-GBJL-2026-0055-M";"INFORME NO VINCULANTE UTL";"No Asignado";null;"GUEVARA BENAVIDEZ JORGE LUIS(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE GARANTÍA DE DERECHOS DE LA NATURALEZA FRENTE A LAS ACTIVIDADES EXTRACTIVISTAS";"2026-04-09";"2026-04-09";"479726";"479726";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"BALTAZAR YUCAILLA ROSA CECILIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA REGULAR LA COOPERACIÓN EFICAZ";"2026-04-09";"2026-04-09";"479733";"479733";"INFORME NO VINCULANTE UTL";"No Asignado";null;"NORIEGA DONOSO JAHIREN ELIZABETH(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE EDUCACIÓN SUPERIOR";"2026-04-08";"2026-04-08";"479655";"479655";"INFORME NO VINCULANTE UTL";"No Asignado";null;"BALTAZAR YUCAILLA ROSA CECILIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PARA LA DOTACIÓN GRATUITA Y UNIVERSAL DE INTERNET EN ZONAS RURALES Y PERIFÉRICAS DEL ECUADOR";"2026-04-08";"2026-04-08";"479637";"479637";"INFORME NO VINCULANTE UTL";"No Asignado";null;"CHORO DUCHI SEGUNDO MANUEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A VARIAS LEYES PARA ESTABLECER LA JUBILACIÓN ESPECIAL DE LAS Y LOS TRABAJADORES DEL SECTOR PETROLERO";"2026-04-08";"2026-04-08";"479643";"479643";"INFORME NO VINCULANTE UTL";"No Asignado";null;"TAMAYO TRIVIÑO JORGE FABRICIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE ECONOMÍA POPULAR Y SOLIDARIA PARA LA INCORPORACIÓN DE LAS PERSONAS MIGRANTES RETORNADAS AL RÉGIMEN DE LA ECONOMÍA POPULAR Y SOLIDARIA";"2026-04-08";"2026-04-08";"479635";"479635";"INFORME NO VINCULANTE UTL";"No Asignado";null;"MATEUS ACOSTA GUSTAVO ENRIQUE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY DE INQUILINATO";"2026-04-07";"2026-04-07";"479579";"479579";"INFORME NO VINCULANTE UTL";"No Asignado";null;"GALLARDO RUIZ KEEVIN FERNANDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY DE MOVILIDAD HUMANA";"2026-04-07";"2026-04-07";"479608";"479608";"INFORME NO VINCULANTE UTL";"No Asignado";null;"GALLARDO RUIZ KEEVIN FERNANDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY QUE DECLARA COMO FECHA CÍVICA NACIONAL EL 11 DE SEPTIEMBRE DE 1830 COMO ""EL DÍA DEL ECUADOR""";"2026-04-07";"2026-04-07";"479575";"479575";"PROYECTO PRESENTADO";"No Asignado";null;"GALLARDO RUIZ KEEVIN FERNANDO(ASAMBLEÍSTA)/ MANCHENO DAVILA MISHEL ANDREA(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA LA CREACIÓN DEL CANTÓN BORBÓN EN LA PROVINCIA DE ESMERALDAS";"2026-04-02";"2026-04-02";"479460";"479460";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio";"2026-04-13";"NOBOA AZIN DANIEL ROY-GILCHRIST(PRESIDENCIA DE LA REPÚBLICA)"
